Disease,Description
integumentary system disease,A disease of anatomical entity that is located_in the integumentary system comprising the skin and its appendages.
interstitial lung disease,
intestinal benign neoplasm,A gastrointestinal system benign neoplasm that is located_in the intestine.
intestinal cancer,A gastrointestinal system cancer that is located_in the intestine.
intestinal disease,A gastrointestinal system disease that is located_in the intestine.
intracranial aneurysm,
intracranial arterial disease,
intrinsic cardiomyopathy,A cardiomyopathy that is characterized as weakness in the muscle of the heart that is not due to an identifiable external cause.
iris disease,
iron deficiency anemia,
iron metabolism disease,
ischemia,A vascular disease that is characterized by a restriction in blood supply to tissues.
ischemic bone disease,A bone disease that results_in an interruption of blood supply located_in bone.
juvenile rheumatoid arthritis,A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.
kawasaki disease,"A lymphadenitis characterized by swelling of cervical lymph nodes in infants and young children and inflammation of medium-sized blood vessels located_in body, has_symptom fever, has_symptom congestion of ocular conjunctivae, has_symptom reddening of lips, has_symptom reddening of oral cavity, has_symptom protuberance of tongue papillae and has_symptom edema of extremities."
keratoconus,"A corneal disease characterized by structural changes within the cornea causing it to thin and change, leading to a protruding conical shape."
kidney cancer,A urinary system cancer that is located_in the kidney.
kidney disease,A urinary system disease that is located_in the kidney.
kidney failure,A kidney disease characterized by the failure of the kidneys to adequately filter waste products from the blood.
labyrinthine disease,
language disorder,A communication disorder that involves the processing of linguistic information.
,
large intestine cancer,"An intestinal cancer that effects the long, tube-like organ that is connected to the small intestine at one end and the anus at the other."
larynx cancer,A respiratory system cancer that is located_in the larynx.
learning disability,"A specific developmental disorder that involves difficulty in scholastic skills such as reading, writing, spelling, reasoning, recalling and/or organizing information resulting from the brain's inability to receive and process information."
lens disease,
leprosy,"A primary bacterial infectious disease that results_in infection located_in superficial peripheral nerves, located_in skin, located_in mucous membranes of the upper respiratory tract, located_in anterior chamber of the eyes, or located_in testes, has_material_basis_in Mycobacterium leprae, which is transmitted_by aerosol spread from infected nasal secretions to exposed nasal and oral mucosa. The infection has_symptom skin lesions, has_symptom sensory loss, has_symptom motor loss and has_symptom eye damage."
leukemia,A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
leukocyte disease,
leukopenia,"A leukocyte disorder that is a decrease in the number of white blood cells (leukocytes) found in the blood, which places individuals at increased risk of infection."
lipid metabolism disorder,An inherited metabolic disorder that involves the creation and degradation of lipids.
lipid storage disease,A lysosomal storage disease that involves the accumulation of harmful amounts of lipids (fats) in some of the body's cells and tissues.
liver cancer,A gastrointestinal system cancer that is located_in the liver.
liver carcinoma,A liver cancer that has_material_basis_in epithelial cells.
liver cirrhosis,
liver disease,
long qt syndrome,"An autosomal genetic disease that is characterized by delayed repolarization of the heart following a heartbeat increases the risk of episodes of torsade de pointes (TDP, a form of irregular heartbeat that originates from the ventricles)."
lower respiratory tract disease,A respiratory system disease which involves the lower respiratory tract.
lung adenocarcinoma,A non-small cell lung carcinoma that derives_from epithelial cells of glandular origin.
lung cancer,A respiratory system cancer that is located_in the lung.
lung carcinoma,A lung cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells and is located_in the lungs and has_symptom cough and has_symptom chest discomfort or pain and has_symptom weight loss and has_symptom hemoptysis.
lung disease,"A lower respiratory tract disease in which the function of the lungs is adversely affected by narrowing or blockage of the airways resulting in poor air flow, a loss of elasticity in the lungs that produces a decrease in the total volume of air that the lungs are able to hold, and clotting, scarring, or inflammation of the blood vessels that affect the ability of the lungs to take up oxygen and to release carbon dioxide."
,
lung small cell carcinoma,A lung carcinoma that has_material_basis_in primitive-appearing cells that are smaller than normal cells.
lupus erythematosus,
lymph node disease,
lymphadenitis,
lymphatic system disease,An immune system disease that is located_in the lymphatic system.
lymphedema,
lymphoblastic leukemia,A leukemia that has_material_basis_in lymphoblasts (immature white blood cells).
lymphoma,A hematologic cancer that affects lymphocytes that reside in the lymphatic system and in blood-forming organs.
lymphopenia,A leukopenia that is the condition of having an abnormally low level of lymphocytes in the blood.
lysosomal storage disease,An inherited metabolic disorder that involve an abnormal accumulation of substances inside the lysosome resulting from defects in lysosomal function.
macular degeneration,A retinal degeneration characterized by gradual deterioration of light-sensing cells in the tissues at the back of the eye; symptoms include vision loss.
major depressive disorder,"An endogenous depression that is characterized by an all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities."
malaria,"A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle."
male infertility,
male reproductive organ cancer,A reproductive organ cancer that is manifested in the male genital system. This includes organs such as the penis and scrotum.
male reproductive system disease,A reproductive system disease that affects male reproductive organs.
malignant glioma,A cell type cancer that has_material_basis_in glial cells and is located_in brain or located_in spine.
malignant mesothelioma,A cell type cancer that has_material_basis_in mesothelial tissue.
mantle cell lymphoma,A B-cell lymphocytic neoplasm due to CD5 positive antigen-naive pregerminal center B-cell within the mantle zone that surrounds normal germinal center follicles.
megacolon,A colonic disease that is characterized by an abnormal dilation of the colon.
melanoma,"A cell type cancer that has_material_basis_in abnormally proliferating cells derived_from melanocytes which are found in skin, the bowel and the eye."
membranous glomerulonephritis,
meningioma,A central nervous system cancer that are manifested in the central nervous system and arise from the arachnoid cap cells of the arachnoid villi in the meninges.
mental depression,
metabolic syndrome x,OMIM mapping confirmed by DO. [SN].
metal metabolism disorder,An inherited metabolic disorder that involves metabolic disturbances in the processing or distribution of dietary minerals.
microcytic anemia,OMIM mapping confirmed by DO. [SN].
middle ear disease,
migraine,"A brain disease that is characterized by moderate to severe headaches, nausea, extreme sensitivity to light and sound and intense unilaterial throbbing or pulsing."
migraine with aura,A migraine characterized by migraine headache which is preceded or accompanied by a transient focal neurological phenomenon.
migraine without aura,A migraine that is characterized by migraine headaches that are not accompanied by an aura.
mineral metabolism disease,An acquired metabolic disease that is characterized by abnormal mineral metabolism.
monogenic disease,"A genetic disease that is the result of one or more abnormal alleles and may be dominant (a single copy of the abnormal allele is sufficient to give rise to the disease), semi-dominant, or recessive (requiring both copies of the gene to have an abnormal allele)."
mood disorder,"A cognitive disorder that involves an excessive, irrational dread of everyday situations."
motor neuron disease,A neurodegenerative disease that is located_in the motor neurones.
mouth disease,A gastrointestinal system disease that is located_in the mouth.
movement disease,
moyamoya disease,A cerebral arterial disease characterized by constriction of certain arteries at the base of the brain. Blood flow is blocked by the constriction and also by blood clots.
multiple myeloma,A myeloma that is located_in the plasma cells in bone marrow.
multiple sclerosis,A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring
muscle tissue disease,
muscular atrophy,
muscular disease,A musculoskeletal system disease that affects the muscles.
musculoskeletal system cancer,An organ system cancer located_in the muscular and skeletal organs and characterized by uncontrolled cellular proliferation of the musculoskeletal organs.
musculoskeletal system disease,A disease of anatomical entity that occurs in the muscular and/or skeletal system.
myasthenia gravis,OMIM mapping confirmed by DO. [SN].
myelodysplastic myeloproliferative cancer,A bone marrow cancer that results_in the overproduction of white blood cells.
myelofibrosis,A myeloma that is located_in the bone marrow which results_in bone marrow being replaced by fibrous (scar) tissue.
myeloid leukemia,A leukemia that is located_in myeloid tissue.
myeloma,A bone marrow cancer that affects plasma cells in which abnormal plasma cells multiply uncontrollably in the bone marrow and occasionally in other parts of the body.
myocardial infarction,Xref MGI.
myofascial pain syndrome,
myopathy,A muscular disease in which the muscle fibers do not function resulting in muscular weakness.
myopia,A refractive error characterized by the inability to see farther objects clearly.
myositis,A myopathy characterized by muscle inflammation.
narcolepsy,"A sleep disorder that involves an excessive urge to sleep at inappropriate times, such as while at work."
nasal cavity disease,
nasopharynx carcinoma,"A pharynx cancer that is located_in the nasopharynx, the uppermost region of the pharynx or throat, where the nasal passages and auditory tubes join the remainder of the upper respiratory tract."
nephritis,
nephroblastoma,A kidney cancer that affects the kidneys and typically located_in children.
nephrolithiasis,OMIM mapping confirmed by DO. [SN].
nephrosis,
nephrotic syndrome,Xref MGI.
nervous system cancer,An organ system cancer located_in the nervous sytem that affects the central or peripheral nervous system.
nervous system disease,A disease of anatomical entity that is located_in the central nervous system or located_in the peripheral nervous system.
neuroblastoma,An autonomic nervous system neoplasm that derives_from immature nerve cells.
neurodegenerative disease,A central nervous system disease that results_in the progressive deterioration of function or structure of neurons.
neuromuscular disease,A neuropathy that affect the nerves that control the voluntary muscles.
neuromuscular junction disease,A neuromuscular disease that is characterized by the disfunction of conduction through the neuromuscular junction.
neuromyelitis optica,A central nervous system disease characterized by acute neuritis located_in eye and demyelination located_in optic nerve and located_in spinal cord.
neuropathy,A nervous system disease that is located_in nerves or nerve cells.
neutropenia,
nicotine dependence,
non-hodgkin lymphoma,A lymphoma that is characterized as any kind of lymphoma except Hodgkin's lymphoma.
non-small cell lung carcinoma,A lung carcinoma that is characterized as any type of epithelial lung cancer other than small cell lung carcinoma.
normocytic anemia,
nose disease,
nutrition disease,"An acquired metabolic disease that is characterized by an insufficient intake of food or of certain nutrients, by an inability of the body to absorb and use nutrients, or by overconsumption of certain foods."
nutritional deficiency disease,
obesity,OMIM mapping confirmed by DO. [SN].
obsessive-compulsive disorder,"An anxiety disorder that involves unwanted and repeated thoughts, feelings, ideas, sensations (obsessions), or behaviors that make them feel driven to do something (compulsions)."
obstructive lung disease,
open-angle glaucoma,A glaucoma characterized by optic nerve damage resulting in progressive loss of visual field and increased pressure in the eye due to trabecular blockage.
opiate dependence,A drug dependence that involves the continued use of opiate drugs despite despite problems related to use of the substance.
optic nerve disease,A cranial nerve disease that is located_in the optic nerve.
oral cavity cancer,A gastrointestinal system cancer that is located_in the oral cavity.
organ system benign neoplasm,A benign neoplasm that is classified by the organ system from which it is arising from.
organ system cancer,A cancer that is classified based on the organ it starts in.
orofacial cleft,
osteoarthritis,An arthritis that has_material_basis_in worn out cartilage located_in joint.
osteonecrosis,An ischemic bone disease that results_in necrosis located_in bone.
osteoporosis,A bone resorption disease that has_material_basis_in a drop in estrogen or testosterone which results_in the thinning of bone tissue and loss of bone mineral density.
osteosarcoma,A bone cancer that is located_in bone that has_material_basis_in cells of mesenchymal origin.
otitis media,A otitis which involves inflammation of the middle ear.
otosclerosis,A labyrinthine disease characterized by an abnormal bone growth in the middle ear.
ovarian cancer,A female reproductive organ cancer that is located_in the ovary.
ovarian disease,
overnutrition,Updated outdated UMLS CUI.
paget's disease of bone,"A bone formation disease that has_material_basis_in hyperactive osteoclast which results_in abnormal osteoblast bone formation located_in skull, located_in pelvis, located_in vertebral column, located_in set of limbs."
pancreas disease,An endocrine system disease that is located_in the pancreas.
pancreatic cancer,An endocrine gland cancer located_in the pancreas.
pancreatitis,
panic disorder,"An anxiety disorder that is characterized by unexpected and repeated episodes of intense fear accompanied by physical symptoms that may include chest pain, heart palpitations, shortness of breath, dizziness, or abdominal distress."
papillary thyroid carcinoma,A thyroid carcinoma that is characterized by the small mushroom shape of the tumor which has a stem attached to the epithelial layer.
parasitic infectious disease,A disease by infectious agent that is carried out by a parasite which by definition is a pathogen that simultaneously injures and derives sustenance from its host.
parasitic protozoa infectious disease,A parasitic infectious disease that is caused by parasitic protozoa which are microorganisms classified as unicellular eukaryotes.
parathyroid gland disease,An endocrine system disease that is located_in the parathyroid gland.
parkinson's disease,"A synucleinopathy that has_material_basis_in degeneration of the central nervous system that often impairs motor skills, speech, and other functions."
pathological gambling,"An impulse control disorder that involves the uncontrollable impulse to gamble, irrespective of the interference the behaviour has on the individual's life."
pemphigus,
peptic ulcer disease,
periodontal disease,
periodontitis,
peripartum cardiomyopathy,
peripheral nervous system neoplasm,A nervous system cancer that is located_in the peripheral nervous system.
peripheral neuropathy,A neuropathy that is located_in nerves of the peripheral nervous system.
peripheral primitive neuroectodermal tumor,"A bone cancer that has_material_basis in neural crest cells derived_from undeveloped, undifferentiated neuroectoderm."
peripheral vascular disease,"A vascular disease that is characterized by obstruction of larger arteries not within the coronary, aortic arch vasculature, or brain."
personality disorder,A disease of mental health that involve long-term patterns of thoughts and behaviors that cause serious problems with relationships and work.
pervasive developmental disorder,"A developmental disorder of mental health that refers to a group of five disorders characterized by impairments in socialization and communication, as well as restricted interests and repetitive behaviors"
phacogenic glaucoma,
pharynx cancer,A gastrointestinal system cancer that is located_in the pharyx.
phosphorus metabolism disease,
physical disorder,"A disease that has_material_basis_in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment."
pigmented basal cell carcinoma,
placenta disease,A uterine disease that is located_in the placenta.
plantar fascial fibromatosis,
pneumonia,"A lung disease that involves lung parenchyma or alveolar inflammation and abnormal alveolar filling with fluid (consolidation and exudation). It results from a variety of causes including infection with bacteria, viruses, fungi or parasites, and chemical or physical injury to the lungs. It is accompanied by fever, chills, cough, and difficulty in breathing."
podoconiosis,
polycystic ovary syndrome,OMIM mapping confirmed by DO. [SN].
polycythemia,
polycythemia vera,OMIM mapping confirmed by DO. [SN].
post-traumatic stress disorder,An anxiety disorder which results from a traumatic experience that results in psychological trauma.
pre-eclampsia,"A hypertension occurring during pregnancy characterized by large amounts of protein in the urine (proteinuria) and edema, usually by the last trimester of pregnancy."
premature ovarian failure,An ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.
primary bacterial infectious disease,"A bacterial infectious disease that results_in infection by bacteria as a result of their presence or activity within the normal, healthy host, and their intrinsic virulence is, in part, a necessary consequence of their need to reproduce and spread."
primary biliary cirrhosis,A liver cirrhosis characterized by chronic and slow progressive destruction of intrahepatic bile ducts.
primary immunodeficiency disease,An immune system disease that results when one or more essential parts of the immune system is missing or not working properly at birth due to a genetic mutation.
prion disease,"A brain disease that is characterized by brain damage resulting from the abnormal folding, clumping and accumulation of cellular proteins in the brain induced by prion proteins."
progressive supranuclear palsy,"A movement disease characterized by serious and progressive problems with control of gait and balance, along with complex eye movement and thinking problems. It involves gradual deterioration and death of specific volumes of the brain."
prolapse of female genital organ,
prostate cancer,A male reproductive organ cancer that is located_in the prostate.
prostate disease,
prostatic hypertrophy,
protein c deficiency,
psoriasis,"A skin abnormality characterized by redness and irritation, with thick, red skin that displays flaky, silver-white patches (scales)."
psoriatic arthritis,A syndrome that occurs in humans with psoriasis who also experience symptoms similar to arthritis.
psychotic disorder,A cognitive disorder that involves abnormal thinking and perceptions resulting in a disconnection with reality.
pulmonary embolism,"An artery disease characterized by a blockage of the main artery of the lung or one of its branches by a substance that has travelled from elsewhere in the body, e.g. a blood clot."
pulmonary emphysema,
pulmonary systemic sclerosis,
pyloric stenosis,
reading disorder,A learning disability involing difficulty reading resulting primarily from neurological factors which affect any part of the reading process.
rectal disease,
recurrent hypersomnia,A sleep disorder that involves recurring bouts of excessive amounts of sleepiness.
refractive error,
renal artery disease,
renal carcinoma,A kidney cancer that derives_from the lining of the proximal convoluted tubule (the very small tubes in the kidney that filter the blood and remove waste products).
renal cell carcinoma,A renal carcinoma that has_material_basis_in the lining of the proximal convoluted renal tubule of the kidney.
reproductive organ benign neoplasm,An organ system benign neoplasm that is located_in reproductive system organs.
reproductive organ cancer,An organ system cancer that is manifested in the reproductive organs.
reproductive system disease,A disease of anatomical entity that is located_in reproductive system organs.
respiratory system cancer,An organ system cancer located_in the respiratory system that is characterized by uncontrolled cellular proliferation in the respiratory tract.
respiratory system disease,A disease of anatomical entity that located_in the respiratory system which extends from the nasal sinuses to the diaphragm.
restless legs syndrome,"A central nervous system disease characterized by throbbing, pulling creeping or other unpleasant sensations in the legs and the irresistible urge to move them."
retinal degeneration,
retinal detachment,OMIM mapping confirmed by DO. [SN].
retinal disease,An eye disease that is located_in the retina.
retinal vascular disease,
rheumatic disease,"A hypersensitivity reaction type II disease that involves inflammation or pain in the muscles, joints, or fibrous tissue."
rheumatoid arthritis,An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.
rhinitis,"A upper respiratory infectious disease which involves irritation and inflammation of the mucous membrane of the nose due to viruses, bacteria or irritants. The inflammation results in generation of excessive amounts of mucus leading to runny nose, as well as nasal congestion and post-nasal drip."
ritter's disease,"A commensal bacterial infectious disease that is characterized by widespread erythema, peeling, and necrosis of the skin, that is caused by a toxin produced by a bacterium of the genus Staphylococcus (S. aureus). The infection has_symptoms redness of skin, has_symptom fluid-filled blister formation, has_symptom fever and has_symptom irritability."
sarcoidosis,A hypersensitivity reaction type IV disease characterized by the growth of collections of inflammatory cells (granulomas) in multiple organs.
schizoaffective disorder,A psychotic disorder that is characterized by recurring episodes of mood fluctuations and a loss of contact with reality.
schizophrenia,A psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
scleroderma,"A rheumatic disease and collagen disease that involves the abnormal growth of connective tissue, which supports the skin and internal organs."
sclerosing cholangitis,
sebaceous gland disease,A skin disease that is located_in the sebaceous gland.
selective iga deficiency disease,"A selective immunoglobulin deficiency disease that is the result of a deficiency of immunoglobulin A (IgA), an antibody that protects against infections of the mucous membranes lining the mouth, airways, and digestive tract"
selective ige deficiency disease,
selective igg deficiency disease,
selective immunoglobulin deficiency disease,
sensory peripheral neuropathy,A peripheral neuropathy that involves damage to nerves of the peripheral nervous system.
sensory system disease,"A nervous system disease which is located in a part of the nervous system responsible for processing sensory information that consists of sensory receptors, neural pathways, and parts of the brain involved in sensory perception. Commonly recognized sensory systems are those for vision, hearing, somatic sensation (touch), taste and olfaction (smell)."
sexual disorder,A disease of mental health that involves the impairment in normal sexual functioning.
sexual dysfunction,
sick sinus syndrome,Xref MGI.
sickle cell anemia,OMIM mapping confirmed by DO. [LS].
sinoatrial node disease,A heart conduction disease that is characterized by dysfunction of the impulse-generating (pacemaker) tissue located in the right atrium of the heart which generates normal sinus rhythm.
sjogren's syndrome,A hypersensitivity reaction type II disease that involves attack of immune cells which destroy the exocrine glands that produce tears and saliva.
skin cancer,An integumentary system cancer located_in the skin that is the uncontrolled growth of abnormal skin cells.
skin carcinoma,A skin cancer that is located_in tissues of the skin and develops from epithelial cells.
skin disease,An integumentary system disease that is located_in skin.
skin melanoma,A skin cancer that has_material_basis_in melanocytes.
sleep disorder,A disease of mental health that involves disruption of sleep patterns.
small intestine neoplasm,
smallpox,"A viral infectious disease that results_in infection located_in skin, has_material_basis_in Variola virus, which is transmitted_by droplets from oral, nasal or pharyngeal mucosa, transmitted_by contact with the body fluids, or transmitted_by fomites. The infection results_in_formation_of lesions, first on the face, hands and forearms and later on the trunk."
specific developmental disorder,A developmental disorder of mental health that categorizes specific learning disabilities and developmental disorders affecting coordination.
speech disorder,A communication disorder that involves difficulty with the act of speech production
sphingolipidosis,
squamous cell carcinoma,A carcinoma that derives_from squamous epithelial cells.
stevens-johnson syndrome,
stomach cancer,A gastrointestinal system cancer that is located_in the stomach.
stomach carcinoma,A stomach cancer that is located_in the stomach.
stomach disease,A gastrointestinal system disease that is located_in the stomach.
substance abuse,A substance-related disorder that involves a maladaptive pattern of substance use leading to significant impairment in functioning.
substance dependence,A substance-related disorder that involves the continued use of alcohol or other drugs despite despite problems related to use of the substance.
substance-induced psychosis,
substance-related disorder,"A disease of mental health involving the abuse or dependence on a substance that is ingested in order to produce a high, alter one's senses, or otherwise affect functioning."
syndrome,A disease comprised of a group of signs and symptoms that occur together and characterize a particular abnormality.
synostosis,A dysostosis that results_in abnormal fusing of adjacent bones.
synucleinopathy,"A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons, nerve fibres or glial cells."
systemic lupus erythematosus,"A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart."
systemic scleroderma,"A scleroderma that is characterized by fibrosis (or hardening) of the skin and major organs, as well as vascular alterations, and autoantibodies."
tauopathy,A neurodegenerative disease that has_material_basis_in the pathological aggregation of tau protein in so-called neurofibrillary tangles (NFT) in the human brain.
teeth hard tissue disease,
temporal lobe epilepsy,
testicular cancer,A male reproductive system cancer that is located_in the testicles.
testicular germ cell cancer,A testicular cancer that has_material_basis_in germ cells
tetralogy of fallot,OMIM mapping confirmed by DO. [LS].
thalassemia,OMIM mapping confirmed by DO. [LS].
thoracic aortic aneurysm,An aortic aneurysm that is located_in the thoracic aorta.
thoracic cancer,"An organ system cancer located_in the thoracic cavity that develops in the different types of cells within the lungs, as well as less common cancers of the esophagus, the trachea, or the chest wall."
thrombocytopenia,A blood platelet disease characterized by low a platelet count in the blood.
thrombophilia,OMIM mapping confirmed by DO. [LS].
thyroid cancer,An endocrine gland cancer located_in the thryoid gland located in the neck below the thyroid cartilage.
thyroid carcinoma,A thyroid cancer that has_material_basis_in epithelial cells.
thyroid gland disease,An endocrine system disease that is located_in the thyroid.
thyroid malformation,
thyroiditis,Updating to more specific UMLS_CUI from C0029495 to C0040147.
tic disorder,A specific developmental disorder that is characterized by the persistent presence of involuntary brief movements or sounds occuring intermittently and unpredictably out of a background of normal motor activity.
tooth agenesis,A tooth disease characterized by failure to develop on or more missing teeth.
tooth disease,
tuberculosis,"A primary bacterial infectious disease that is located_in lungs, located_in lymph nodes, located_in pericardium, located_in brain, located_in pleura or located_in gastrointestinal tract, has_material_basis_in Mycobacterium tuberculosis, which is transmitted_by droplets released into the air when an infected person coughs or sneezes."
type 1 diabetes mellitus,A diabetes mellitus that results from the body's failure to produce insulin and has_material_basis_in autoimmune destruction of insulin-producing beta cells of the pancreas.
type 2 diabetes mellitus,A diabetes mellitus that involves high blood glucose resulting from cells fail to use insulin properly.
ulcerative colitis,"A colitis that is predominantly confined to the mucosa located_in colon and includes characteristic ulcers, or open sores."
upper respiratory tract disease,A respiratory system disease which involves the upper respiratory tract.
urinary bladder cancer,An urinary system cancer that results_in malignant growth located_in the urinary bladder
urinary system cancer,"An organ system cancer that is located_in the kidneys, ureteres, bladder or urethra."
urinary system disease,"A disease of anatomical entity that is located_in kidney, ureter, bladder and urethra."
uterine benign neoplasm,
uterine cancer,A female reproductive organ cancer that is located_in the uterus.
uterine disease,A female reproductive system disease that is located_in the uterus.
uterine fibroid,A uterine benign neoplasm derived from the smooth muscle layer of the uterus.
uveal disease,
vascular dementia,A dementia that involves impairments in cognitive function caused by problems in blood vessels that feed the brain.
vascular disease,"A cardiovascular system disease that primarily affects the blood vessels which includes the arteries, veins and capillaries that carry blood to and from the heart."
vascular hemostatic disease,
vasculitis,A vascular disease that is characterized by inflammation of the blood vessels.
vein disease,A vascular disease that is located_in a vein.
viral hepatitis,A hepatitis that involves viral infection causing inflammation of the liver.
viral infectious disease,"A disease by infectious agent that results_in infection, has_material_basis_in Viruses."
viral pneumonia,"A pneumonia described as an inflammatory illness of the lung commonly caused by viruses such as influenza virus, parainfluenza, adenovirus, rhinovirus, herpes simplex virus, respiratory syncytial virus, hantavirus, and cytomegalovirus."
visual cortex disease,
visual pathway disease,
vitamin b12 deficiency,A vitamin metabolic disorder that results from low blood levels of vitamin B12.
vitamin metabolic disorder,An inherited metabolic disorder resulting from a deficiency in vitamin or vitamin cofactor transport or metabolism.
vitiligo,A hypersensitivity reaction type II disease that causes depigmentation of patches of skin resulting from loss of function or death of melanoctyes
von willebrand's disease,"A coagulation protein disease that is a hereditary abnormality which slows the blood clotting process. It arises from a qualitative or quantitative deficiency of von Willebrand factor (vWF), a multimeric protein that is required for platelet adhesion."
waterhouse-friderichsen syndrome,An adrenal gland disease that is characterized by failure of the adrenal gland due to bleeding into the gland.
wegener's granulomatosis,"An autoimmune disease that is a vasculitis that is located_in lung, located_in kidney, located_in skin resulting from an autoimmune attack by antineutrophil cytoplasmic antibodies against small and medium-size blood vessels."
withdrawal disorder,"A substance-related disorder that occurs upon the abrupt discontinuation/separation or a decrease in dosage of the intake of medications, recreational drugs, and alcohol."
x-linked disease,A monogenic disease that has_material_basis_in muations in genes on the X chromosome
